product name,ingredients,formatted ingredients
barry-m-flawless-original-primer,"['Cyclopentasiloxane', 'Aqua', 'Isododecane', 'Cyclohexasiloxane', 'Dimethicone Crosspolymer', 'Dimethicone/Vinyl Dimethicone Crosspolymer', 'Dimethiconol', 'Nylon-12', 'PEG-10 Dimethicone', 'Polyglyceryl-4 Isostearate', 'Cetyl PEG/PPG-10/1 Dimethicone', 'Hexyl Laurate', 'Propylene Glycol', 'Tocopheryl Acetate', 'Glycerin', 'Diazolidinyl Urea', 'Methylparaben', 'Parfum', 'Propylparaben', 'Salix Alba Bark Extract', 'Limonene', 'Citronellol', 'Linalool', 'Geraniol', 'Sodium Benzoate', 'Potassium Sorbate', 'Hexyl Cinnamal', 'Butylphenyl Methylpropional', 'Citral', 'Farnesol']","['cyclopentasiloxane', 'water', 'isododecane', 'cyclohexasiloxane', 'dimethicone-crosspolymer', 'dimethicone-vinyl-dimethicone-crosspolymer', 'dimethiconol', 'nylon-12', 'peg-10-dimethicone', 'polyglyceryl-4-isostearate', 'cetyl-peg-ppg-10-1-dimethicone', 'hexyl-laurate', 'propylene-glycol', 'tocopheryl-acetate', 'glycerin', 'diazolidinyl-urea', 'methylparaben', 'parfum', 'propylparaben', 'salix-alba-bark-extract', 'limonene', 'citronellol', 'linalool', 'geraniol', 'sodium-benzoate', 'potassium-sorbate', 'hexyl-cinnamal', 'butylphenyl-methylpropional', 'citral', 'farnesol']"
annayake-bamboo-energizing-face-care,"['Aqua (Water)', 'Propylheptyl Caprylate', 'Shea Butter Ethyl Esters', 'Glycerin', 'PEG-8', 'Caprylic/Capric Triglyceride', 'Jojoba Esters', 'Behenyl Alcohol', 'Glyceryl Stearate', 'Capryloyl Glycerin/Sebacic Acid Copolymer', 'Betaine', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Diheptyl Succinate', 'Butylene Glycol', 'Helianthus Annuus (Sunflower) Seed Wax', 'Phenoxyethanol', 'Glyceryl Stearate Citrate', 'Disodium Ethylene Dicocamide PEG-15 Disulfate', 'Polymethyl Methacrylate', 'Hydroxyethylcellulose', 'Ethylhexylglycerin', 'Parfum (Fragrance)', 'Polyisobutene', 'Decylene Glycol', 'Tetrasodium EDTA', 'Acacia Decurrens Flower Wax', 'Polyglycerin-3', 'Sorbitan Isostearate', 'Citric Acid', 'Polysorbate 60', 'Lecithin', 'Bambusa Vulgaris Water', 'PEG-7 Trimethylolpropane Coconut Ether', 'Biosaccharide Gum-4', '1,2-Hexanediol', 'Tocopherol', 'Phyllostachys Pubescens Shoot Bark Extract', 'Bambusa Vulgaris Sap Extract', 'Ascorbyl Palmitate']","['water', 'propylheptyl-caprylate', 'shea-butter-ethyl-esters', 'glycerin', 'peg-8', 'caprylic-capric-triglyceride', 'jojoba-esters', 'behenyl-alcohol', 'glyceryl-stearate', 'capryloyl-glycerin-sebacic-acid-copolymer', 'betaine', 'hydroxyethyl-acrylate-sodium-acryloyldimethyl-taurate-copolymer', 'diheptyl-succinate', 'butylene-glycol', 'helianthus-annuus-seed-wax', 'phenoxyethanol', 'glyceryl-stearate-citrate', 'disodium-ethylene-dicocamide-peg-15-disulfate', 'polymethyl-methacrylate', 'hydroxyethylcellulose', 'ethylhexylglycerin', 'parfum', 'polyisobutene', 'decylene-glycol', 'tetrasodium-edta', 'acacia-decurrens-flower-wax', 'polyglycerin-3', 'sorbitan-isostearate', 'citric-acid', 'polysorbate-60', 'lecithin', 'bambusa-vulgaris-water', 'peg-7-trimethylolpropane-coconut-ether', 'biosaccharide-gum-4', '1-2-hexanediol', 'tocopherol', 'phyllostachys-pubescens-shoot-bark-extract', 'bambusa-vulgaris-sap-extract', 'ascorbyl-palmitate']"
clarins-booster-repair,"['Glycerin', 'Aqua/Water/Eau', 'Propylene Glycol', 'Panthenol', 'Mimosa Tenuiflora Bark Extract', 'Allantoin', 'Centella Asiatica Extract', 'Phenoxyethanol', 'Sorbic Acid']","['glycerin', 'water', 'propylene-glycol', 'panthenol', 'mimosa-tenuiflora-bark-extract', 'allantoin', 'centella-asiatica-extract', 'phenoxyethanol', 'sorbic-acid']"
thermal-shampoo,"['Aqua (Medicinal Water)', 'Sodium Laureth Sulfate', 'Cocamidopropyl Betaine', 'Sodium Chloride', 'Hydrolysed Wheat Protein', 'Parfum', 'Coco-Glucoside', 'Glyceryl Oleate', 'Thiamine Hcl', 'Nicotinamide', 'Ci 42090', 'Panthenol', 'Citric Acid', 'Glycerin', 'Magnesium Sulfate', 'Boric Acid', 'Potassium Chloride', 'Zinc Sulfate', 'Ferrous Sulfate']","['water', 'sodium-laureth-sulfate', 'cocamidopropyl-betaine', 'sodium-chloride', 'hydrolyzed-wheat-protein', 'parfum', 'coco-glucoside', 'glyceryl-oleate', 'thiamine-hcl', 'niacinamide', 'ci-42090', 'panthenol', 'citric-acid', 'glycerin', 'magnesium-sulfate', 'boric-acid', 'potassium-chloride', 'zinc-sulfate', 'ferrous-sulfate']"
aya-natural-skin-calming-cream,"['Purified Aqua', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Olive (Olea Uropaea) Oil', 'Castor (Ricinus Communis) Oil', 'Jojoba (Buxus Chinesis) Oil', 'Wheat (Triticum Vulgare) Germ Oil', 'Avocado (Persea Gratissima) Oil', 'Sweet Almond (Prunus Amygdalus Dulcis) Oil', 'Palm (Elaeis Guineensis) Oil', 'Shea Butter (Butyrospermum Parkii)', 'Evening Primrose (Oenothera Biennis) Oil', 'Honeysuckle (Lonicera Japonica) Flower Extract', 'Sea Buckthorn (Hippophae Rhamnoides) Oil', 'Tocopheryl Acetate (Vitamin E)', 'Lavender (Lavandula Angustifolia) Oil', 'Geranium (Pelargonium Graveolens) Flower Oil', 'Tea Tree (Melaleuca Alternifolia) Oil', 'Lonicera Caprifolium Flower Extract', 'Ylang Ylang (Cananga Odorate) Flower Oil', 'Citric Acid']","['water', 'cetearyl-alcohol', 'cetearyl-glucoside', 'olea-europaea-fruit-oil', 'ricinus-communis-seed-oil', 'simmondsia-chinensis-seed-oil', 'triticum-vulgare-germ-oil', 'persea-gratissima-oil', 'prunus-amygdalus-dulcis-oil', 'elaeis-guineensis-oil', 'butyrospermum-parkii-butter', 'oenothera-biennis-oil', 'lonicera-japonica-flower-extract', 'hippophae-rhamnoides-fruit-oil', 'tocopheryl-acetate', 'lavandula-angustifolia-oil', 'pelargonium-graveolens-flower-oil', 'melaleuca-alternifolia-leaf-oil', 'lonicera-caprifolium-flower-extract', 'cananga-odorata-flower-oil', 'citric-acid']"
now-foods-solutions-hyaluronic-acid-creme-pm-moisture-renew-formula,"['De-Ionized Water', 'Stearic Acid (Vegetable Source)', 'Avocado Oil', 'Glyceryl Stearate SE', 'Cetyl Alcohol', 'Vegetable Glycerin', 'Cetearyl Alcohol', 'Cetearyl Glucoside', 'Palmitic Acid Ester', 'Vegetable Squalane', 'Soy Lecithin', 'Natural Aroma', 'Glucose', 'Glucose Oxidase', 'Lactoperoxidase (Natural Preservative)', 'Cetyl Palmitate', 'Shea Butter (Tree Nut)', 'Mango Butter', 'Jojoba Oil', 'Sodium Hyaluronate (Hyaluronic Acid)', 'Potassium Sorbate', 'MSM', 'L-Carnosine', 'Xanthan Gum', 'Tetrahexyldecyl Ascorbate (Vitamin C)', 'D-Alpha Tocopherol (Vitamin E) (From Soy)', 'Soluble Collagen', 'Grapefruit Seed Extract', 'Green Tea Extract']","['water', 'stearic-acid', 'persea-gratissima-oil', 'glyceryl-stearate-se', 'cetyl-alcohol', 'glycerin', 'cetearyl-alcohol', 'cetearyl-glucoside', 'palmitic-acid-ester', 'squalane', 'lecithin', 'aroma', 'glucose', 'glucose-oxidase', 'lactoperoxidase', 'cetyl-palmitate', 'butyrospermum-parkii-butter', 'mangifera-indica-seed-oil', 'simmondsia-chinensis-seed-oil', 'sodium-hyaluronate', 'potassium-sorbate', 'dimethyl-sulfone', 'carnosine', 'xanthan-gum', 'tetrahexyldecyl-ascorbate', 'tocopherol', 'soluble-collagen', 'citrus-grandis-seed-extract', 'camellia-sinensis-leaf-extract']"
bad-habit-daily-dose-multivitamin-moisturizer,"['Water (Aqua)', 'Dicaprylyl Carbonate', 'Glycerin', 'Niacinamide', 'Coconut Alkanes', 'Cetearyl Olivate', 'Cetearyl Alcohol', 'Sorbitan Olivate', 'Dimethicone', 'Sodium Hyaluronate', 'Panthenol', 'Glycine Soja (Soybean) Oil', 'Tocopheryl Acetate', 'Avena Sativa (Oat) Bran Extract', 'Avena Sativa (Oat) Kernel Extract', 'Oryza Sativa (Rice) Extract', 'Oryza Sativa (Rice) Germ Extract', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Phenoxyethanol', 'Caprylyl Glycol', 'Saccharide Isomerate', 'Tetrahexyldecyl Ascorbate', 'Polymethylsilsesquioxane', 'Chlorphenesin', 'Polyglyceryl-3 Diisostearate', 'Coco-Caprylate/Caprate', 'Disodium EDTA', 'Mica', 'Tin Oxide', 'Polysorbate 60', 'Sorbitan Isostearate', 'Citric Acid', 'Potassium Sorbate', 'Sodium Benzoate', 'Sodium Citrate', 'Tocopherol', 'Fragrance (Parfum)', 'Geraniol', 'Limonene', 'Titanium Dioxide (Ci 77891)', 'Yellow 5 (Ci 19140)', 'Yellow 6 (Ci 15985)']","['water', 'dicaprylyl-carbonate', 'glycerin', 'niacinamide', 'coconut-alkanes', 'cetearyl-olivate', 'cetearyl-alcohol', 'sorbitan-olivate', 'dimethicone', 'sodium-hyaluronate', 'panthenol', 'glycine-soja-oil', 'tocopheryl-acetate', 'avena-sativa-bran-extract', 'avena-sativa-kernel-extract', 'oryza-sativa-extract', 'oryza-sativa-germ-extract', 'hydroxyethyl-acrylate-sodium-acryloyldimethyl-taurate-copolymer', 'phenoxyethanol', 'caprylyl-glycol', 'saccharide-isomerate', 'tetrahexyldecyl-ascorbate', 'polymethylsilsesquioxane', 'chlorphenesin', 'polyglyceryl-3-diisostearate', 'coco-caprylate-caprate', 'disodium-edta', 'mica', 'tin-oxide', 'polysorbate-60', 'sorbitan-isostearate', 'citric-acid', 'potassium-sorbate', 'sodium-benzoate', 'sodium-citrate', 'tocopherol', 'parfum', 'geraniol', 'limonene', 'ci-77891', 'ci-19140', 'ci-15985']"
good-molecules-bakuchiol-oil-blend-for-dry-skin,"['Rosa Rubiginosa (Rosehip) Seed Oil (80.0%)', 'Salvia Hispanica (Chia) Seed Oil (19.7%)', 'Bakuchiol (0.3%)']","['rosa-rubiginosa-seed-oil', 'salvia-hispanica-seed-oil', 'bakuchiol']"
isana-bodybutter-make-me-mango,"['Aqua', 'Ethylhexyl Stearate', 'Helianthus Annuus Seed Oil', 'Cetearyl Alcohol', 'Glycerin', 'Butyrospermum Parkii Butter', 'Glyceryl Stearate Citrate', 'Caprylic/Capric Triglyceride', 'Isopropyl Palmitate', 'Mangifera Indica Seed Butter', 'Cocos Nucifera Oil', 'Tocopherol', 'Coco-Caprylate', 'Xanthan Gum', 'Sodium Hydroxide', 'Parfum', 'Linalool', 'Geraniol', 'Limonene', 'Benzyl Alcohol', 'Citral', 'Dehydroacetic Acid', 'Benzoic Acid', 'Phenoxyethanol']","['water', 'ethylhexyl-stearate', 'helianthus-annuus-seed-oil', 'cetearyl-alcohol', 'glycerin', 'butyrospermum-parkii-butter', 'glyceryl-stearate-citrate', 'caprylic-capric-triglyceride', 'isopropyl-palmitate', 'mangifera-indica-seed-oil', 'cocos-nucifera-oil', 'tocopherol', 'coco-caprylate', 'xanthan-gum', 'sodium-hydroxide', 'parfum', 'linalool', 'geraniol', 'limonene', 'benzyl-alcohol', 'citral', 'dehydroacetic-acid', 'benzoic-acid', 'phenoxyethanol']"
rohto-dermacept-rx-moisturising-sunscreen,"['Aqua (Water)', 'Ethylhexyl Methoxycinnamate', 'Butylene Glycol', 'Methylene Bis-Benzotriazolyl Tetramethylbutylphenol', 'Polymethylsilsesquioxane', 'Cyclopentasiloxane', 'Diethylamino Hydroxybenzoyl Hexyl Benzoate', 'Polysorbate 60', 'Cetearyl Alcohol', 'Silica', 'Bisethylhexyloxyphenol Methoxyphenyl Triazine', 'Decyl Glucoside', 'Titanium Dioxide', 'Phenoxyethanol', 'Triethanolamine', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Hexylglycerin', 'Disodium EDTA', 'Propylene Glycol', 'Rosa Roxburghii Fruit Extract', 'Xanthan Gum', 'Sodium Hyaluronate', 'Hydrolyzed Hyaluronic Acid (Nano Ha)', 'Sodium Acetylated Hyaluronate (Acha)']","['water', 'ethylhexyl-methoxycinnamate', 'butylene-glycol', 'methylene-bis-benzotriazolyl-tetramethylbutylphenol', 'polymethylsilsesquioxane', 'cyclopentasiloxane', 'diethylamino-hydroxybenzoyl-hexyl-benzoate', 'polysorbate-60', 'cetearyl-alcohol', 'silica', 'bis-ethylhexyloxyphenol-methoxyphenyl-triazine', 'decyl-glucoside', 'titanium-dioxide', 'phenoxyethanol', 'triethanolamine', 'acrylates-c10-30-alkyl-acrylate-crosspolymer', 'hexylglycerin', 'disodium-edta', 'propylene-glycol', 'rosa-roxburghii-fruit-extract', 'xanthan-gum', 'sodium-hyaluronate', 'hydrolyzed-hyaluronic-acid', 'sodium-acetylated-hyaluronate']"
