ingredients,formatted ingredients,what-it-does
Cyclopentasiloxane,cyclopentasiloxane,"['emollient', 'solvent']"
Aqua,water,['solvent']
Isododecane,isododecane,"['emollient', 'solvent']"
Cyclohexasiloxane,cyclohexasiloxane,"['emollient', 'solvent']"
Dimethicone Crosspolymer,dimethicone-crosspolymer,['viscosity controlling']
Dimethicone/Vinyl Dimethicone Crosspolymer,dimethicone-vinyl-dimethicone-crosspolymer,['viscosity controlling']
Dimethiconol,dimethiconol,"['emollient', 'moisturizer/humectant']"
Nylon-12,nylon-12,['viscosity controlling']
PEG-10 Dimethicone,peg-10-dimethicone,['emulsifying']
Polyglyceryl-4 Isostearate,polyglyceryl-4-isostearate,['emulsifying']
Cetyl PEG/PPG-10/1 Dimethicone,cetyl-peg-ppg-10-1-dimethicone,"['emulsifying', 'surfactant/cleansing']"
Hexyl Laurate,hexyl-laurate,['emollient']
Propylene Glycol,propylene-glycol,"['moisturizer/humectant', 'solvent', 'viscosity controlling']"
Tocopheryl Acetate,tocopheryl-acetate,['antioxidant']
Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
Diazolidinyl Urea,diazolidinyl-urea,['preservative']
Methylparaben,methylparaben,['preservative']
Parfum,parfum,['perfuming']
Propylparaben,propylparaben,"['preservative', 'perfuming']"
Salix Alba Bark Extract,salix-alba-bark-extract,['soothing']
Limonene,limonene,"['perfuming', 'solvent']"
Citronellol,citronellol,['perfuming']
Linalool,linalool,['perfuming']
Geraniol,geraniol,['perfuming']
Sodium Benzoate,sodium-benzoate,['preservative']
Potassium Sorbate,potassium-sorbate,['preservative']
Hexyl Cinnamal,hexyl-cinnamal,['perfuming']
Butylphenyl Methylpropional,butylphenyl-methylpropional,['perfuming']
Citral,citral,['perfuming']
Farnesol,farnesol,['perfuming']
Aqua (Water),water,['solvent']
Propylheptyl Caprylate,propylheptyl-caprylate,['emollient']
Shea Butter Ethyl Esters,shea-butter-ethyl-esters,['emollient']
Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
PEG-8,peg-8,"['moisturizer/humectant', 'solvent']"
Caprylic/Capric Triglyceride,caprylic-capric-triglyceride,['emollient']
Jojoba Esters,jojoba-esters,"['soothing', 'emollient', 'moisturizer/humectant']"
Behenyl Alcohol,behenyl-alcohol,"['emollient', 'viscosity controlling']"
Glyceryl Stearate,glyceryl-stearate,"['emollient', 'emulsifying']"
Capryloyl Glycerin/Sebacic Acid Copolymer,capryloyl-glycerin-sebacic-acid-copolymer,['']
Betaine,betaine,['moisturizer/humectant']
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,hydroxyethyl-acrylate-sodium-acryloyldimethyl-taurate-copolymer,['viscosity controlling']
Diheptyl Succinate,diheptyl-succinate,['emollient']
Butylene Glycol,butylene-glycol,"['moisturizer/humectant', 'solvent']"
Helianthus Annuus (Sunflower) Seed Wax,helianthus-annuus-seed-wax,['emollient']
Phenoxyethanol,phenoxyethanol,['preservative']
Glyceryl Stearate Citrate,glyceryl-stearate-citrate,"['emollient', 'emulsifying']"
Disodium Ethylene Dicocamide PEG-15 Disulfate,disodium-ethylene-dicocamide-peg-15-disulfate,['surfactant/cleansing']
Polymethyl Methacrylate,polymethyl-methacrylate,['']
Hydroxyethylcellulose,hydroxyethylcellulose,['viscosity controlling']
Ethylhexylglycerin,ethylhexylglycerin,['preservative']
Parfum (Fragrance),parfum,['perfuming']
Polyisobutene,polyisobutene,['viscosity controlling']
Decylene Glycol,decylene-glycol,['']
Tetrasodium EDTA,tetrasodium-edta,['chelating']
Acacia Decurrens Flower Wax,acacia-decurrens-flower-wax,['emollient']
Polyglycerin-3,polyglycerin-3,['moisturizer/humectant']
Sorbitan Isostearate,sorbitan-isostearate,['emulsifying']
Citric Acid,citric-acid,['buffering']
Polysorbate 60,polysorbate-60,"['emulsifying', 'surfactant/cleansing']"
Lecithin,lecithin,"['emollient', 'emulsifying']"
Bambusa Vulgaris Water,bambusa-vulgaris-water,['']
PEG-7 Trimethylolpropane Coconut Ether,peg-7-trimethylolpropane-coconut-ether,"['emulsifying', 'surfactant/cleansing']"
Biosaccharide Gum-4,biosaccharide-gum-4,['']
"1,2-Hexanediol",1-2-hexanediol,['solvent']
Tocopherol,tocopherol,['antioxidant']
Phyllostachys Pubescens Shoot Bark Extract,phyllostachys-pubescens-shoot-bark-extract,['']
Bambusa Vulgaris Sap Extract,bambusa-vulgaris-sap-extract,['emollient']
Ascorbyl Palmitate,ascorbyl-palmitate,['antioxidant']
Glycerin,glycerin,"['skin-identical ingredient', 'moisturizer/humectant']"
Aqua/Water/Eau,water,['solvent']
Propylene Glycol,propylene-glycol,"['moisturizer/humectant', 'solvent', 'viscosity controlling']"
Panthenol,panthenol,"['soothing', 'moisturizer/humectant']"
Mimosa Tenuiflora Bark Extract,mimosa-tenuiflora-bark-extract,['soothing']
Allantoin,allantoin,['soothing']
Centella Asiatica Extract,centella-asiatica-extract,"['soothing', 'antioxidant', 'moisturizer/humectant']"
Phenoxyethanol,phenoxyethanol,['preservative']
Sorbic Acid,sorbic-acid,['preservative']
Aqua (Medicinal Water),water,['solvent']
Sodium Laureth Sulfate,sodium-laureth-sulfate,"['surfactant/cleansing', 'emulsifying']"
